iter	RMSE
0	8.55965583
1	8.268978642
2	7.988556717
3	7.698829375
4	7.414891343
5	7.198794911
6	6.950360275
7	6.749964548
8	6.566068897
9	6.439410595
10	6.245901331
11	6.104453289
12	5.961574837
13	5.827563233
14	5.702310806
15	5.595586963
16	5.481570006
17	5.363854634
18	5.275795945
19	5.20881152
20	5.135633471
21	5.045307678
22	4.984735688
23	4.903756136
24	4.835213703
25	4.763470608
26	4.700517607
27	4.649508937
28	4.603574671
29	4.543015588
30	4.483900265
31	4.425808455
32	4.388144723
33	4.329168757
34	4.275603971
35	4.251213772
36	4.195509366
37	4.139156314
38	4.094781502
39	4.047807005
40	3.999279901
41	3.939460358
42	3.905284765
43	3.861400456
44	3.823936491
45	3.785103943
46	3.738060039
47	3.707213351
48	3.669552823
49	3.62891655
50	3.604024137
51	3.572613703
52	3.544534686
53	3.500508054
54	3.481418967
55	3.46186023
56	3.436381958
57	3.410000539
58	3.381830741
59	3.347793294
60	3.319021686
61	3.28547142
62	3.262680986
63	3.234934332
64	3.213133995
65	3.190633284
66	3.16902068
67	3.145448781
68	3.130223664
69	3.099591428
70	3.076347145
71	3.052805357
72	3.023958966
73	2.999558773
74	2.975181546
75	2.944387674
76	2.918105161
77	2.899532014
78	2.882779761
79	2.865043621
80	2.853346337
81	2.825884551
82	2.810082024
83	2.799245074
84	2.776149128
85	2.757248571
86	2.737548811
87	2.725465967
88	2.696227769
89	2.680430988
90	2.65723755
91	2.642430475
92	2.624264283
93	2.604373023
94	2.585975548
95	2.568358647
96	2.547440683
97	2.526896017
98	2.504301369
99	2.48922506
100	2.469509175
101	2.456773066
102	2.42583513
103	2.407488335
104	2.40030778
105	2.386665494
106	2.36588461
107	2.35358907
108	2.344673333
109	2.330267844
110	2.310170353
111	2.297921951
112	2.29206223
113	2.277274967
114	2.267894168
115	2.255661662
116	2.239131131
117	2.22905619
118	2.216931894
119	2.207381477
120	2.191474868
121	2.184876526
122	2.175005979
123	2.160034055
124	2.147407657
125	2.141839995
126	2.129123364
127	2.117178298
128	2.102708337
129	2.090811072
130	2.084458802
131	2.072118589
132	2.060651091
133	2.051313023
134	2.043058784
135	2.030909549
136	2.021486417
137	2.010705451
138	1.998429163
139	1.98615676
140	1.97820862
141	1.966127081
142	1.957214892
143	1.945274278
144	1.936182226
145	1.928537442
146	1.915402182
147	1.906597686
148	1.896721777
149	1.885384827
150	1.875206076
