iter	Passed	Remaining
0	46	23197
1	46	11701
2	47	7872
3	47	5947
4	48	4792
5	48	4022
6	49	3472
7	49	3057
8	50	2733
9	50	2474
10	50	2260
11	51	2080
12	51	1933
13	51	1802
14	52	1688
15	52	1590
16	52	1503
17	53	1425
18	53	1355
19	53	1293
20	54	1237
21	54	1185
22	54	1138
23	55	1095
24	55	1056
25	55	1019
26	56	985
27	56	954
28	56	924
29	57	897
30	57	872
31	57	848
32	58	825
33	58	804
34	59	784
35	59	765
36	59	747
37	60	730
38	60	714
39	60	698
40	61	684
41	61	670
42	61	656
43	62	644
44	62	632
45	62	620
46	63	608
47	63	597
48	63	587
49	64	577
50	64	567
51	64	558
52	65	549
53	65	540
54	65	532
55	66	524
56	66	516
57	66	509
58	67	501
59	67	494
60	67	487
61	68	481
62	68	474
63	68	468
64	69	462
65	69	456
66	69	450
67	70	446
68	70	440
69	70	435
70	71	430
71	71	425
72	71	420
73	72	416
74	72	411
75	73	407
76	73	402
77	73	398
78	74	394
79	74	390
80	74	386
81	75	382
82	75	378
83	75	375
84	76	371
85	76	368
86	76	364
87	77	361
88	77	358
89	77	354
90	78	351
91	78	348
92	78	345
93	79	342
94	79	340
95	80	338
96	80	336
97	81	333
98	81	331
99	82	329
100	82	326
101	83	324
102	83	322
103	84	319
104	84	317
105	84	314
106	85	312
107	85	310
108	86	308
109	86	306
110	86	304
111	87	302
112	87	300
113	88	298
114	88	295
115	88	293
116	89	291
117	89	289
118	89	287
119	90	285
120	90	283
121	90	281
122	91	279
123	91	277
124	92	276
125	92	274
126	92	272
127	93	270
128	93	268
129	93	267
130	94	265
131	94	263
132	95	262
133	95	260
134	95	258
135	96	257
136	96	255
137	96	253
138	97	252
139	97	250
140	97	249
141	98	248
142	98	246
143	99	245
144	99	243
145	99	242
146	100	240
147	100	239
148	101	238
149	101	236
150	101	235
151	102	233
152	102	232
153	102	231
154	103	229
155	103	228
156	103	227
157	104	225
158	104	224
159	105	223
160	105	221
161	105	220
162	106	219
163	106	218
164	106	217
165	107	215
166	107	214
167	108	213
168	108	212
169	108	211
170	109	210
171	109	209
172	110	207
173	110	206
174	110	205
175	111	204
176	111	203
177	111	202
178	112	201
179	112	200
180	113	199
181	113	198
182	114	197
183	114	196
184	114	195
185	115	194
186	115	193
187	116	192
188	116	191
189	116	190
190	117	189
191	117	188
192	118	187
193	118	186
194	118	185
195	119	185
196	119	184
197	120	183
198	120	182
199	120	181
200	121	180
201	121	179
202	122	178
203	122	177
204	122	176
205	123	175
206	123	174
207	123	174
208	124	173
209	124	172
210	125	171
211	125	170
212	125	169
213	126	168
214	126	168
215	127	167
216	127	166
217	128	165
218	128	164
219	128	164
220	129	163
221	129	162
222	130	161
223	130	160
224	130	160
225	131	159
226	131	158
227	132	157
228	132	156
229	132	156
230	133	155
231	133	154
232	134	153
233	134	153
234	135	152
235	135	151
236	136	151
237	136	150
238	137	149
239	137	149
240	138	148
241	138	147
242	139	147
243	139	146
244	140	145
245	140	145
246	140	144
247	141	143
248	141	142
249	142	142
250	142	141
251	143	141
252	143	140
253	144	139
254	144	138
255	145	138
256	145	137
257	145	136
258	146	136
259	146	135
260	147	134
261	147	134
262	148	133
263	148	132
264	148	132
265	149	131
266	149	130
267	150	130
268	150	129
269	151	128
270	151	127
271	151	127
272	152	126
273	152	125
274	153	125
275	153	124
276	154	124
277	154	123
278	155	123
279	156	122
280	156	122
281	157	121
282	157	120
283	158	120
284	158	119
285	158	118
286	159	118
287	159	117
288	160	117
289	160	116
290	161	115
291	161	115
292	162	114
293	162	113
294	162	113
295	163	112
296	163	111
297	164	111
298	164	110
299	165	110
300	165	109
301	165	108
302	166	108
303	166	107
304	167	106
305	167	106
306	167	105
307	168	104
308	168	104
309	169	103
310	169	103
311	170	102
312	170	101
313	170	101
314	171	100
315	171	100
316	172	99
317	172	98
318	173	98
319	174	97
320	174	97
321	175	96
322	175	96
323	176	95
324	177	95
325	177	94
326	178	94
327	178	93
328	178	93
329	179	92
330	179	91
331	180	91
332	180	90
333	181	90
334	181	89
335	182	88
336	182	88
337	183	87
338	183	87
339	183	86
340	184	85
341	184	85
342	185	84
343	186	84
344	186	83
345	187	83
346	187	82
347	188	82
348	188	81
349	189	81
350	189	80
351	190	79
352	190	79
353	191	78
354	191	78
355	192	77
356	192	77
357	192	76
358	193	75
359	193	75
360	194	74
361	194	74
362	195	73
363	195	73
364	195	72
365	196	71
366	196	71
367	197	70
368	197	70
369	198	69
370	198	69
371	199	68
372	200	68
373	200	67
374	201	67
375	201	66
376	202	66
377	202	65
378	203	64
379	203	64
380	204	63
381	204	63
382	205	62
383	206	62
384	206	61
385	207	61
386	207	60
387	208	60
388	208	59
389	208	58
390	209	58
391	209	57
392	210	57
393	210	56
394	211	56
395	211	55
396	212	55
397	212	54
398	212	53
399	213	53
400	214	52
401	214	52
402	215	51
403	215	51
404	216	50
405	216	50
406	216	49
407	217	49
408	217	48
409	218	47
410	219	47
411	219	46
412	220	46
413	220	45
414	221	45
415	221	44
416	222	44
417	222	43
418	223	43
419	223	42
420	224	42
421	224	41
422	225	40
423	225	40
424	226	39
425	226	39
426	227	38
427	227	38
428	228	37
429	228	37
430	229	36
431	229	36
432	230	35
433	230	35
434	231	34
435	231	34
436	232	33
437	232	32
438	233	32
439	233	31
440	234	31
441	234	30
442	235	30
443	236	29
444	236	29
445	237	28
446	237	28
447	238	27
448	238	27
449	239	26
450	239	26
451	240	25
452	240	24
453	241	24
454	241	23
455	242	23
456	242	22
457	243	22
458	243	21
459	244	21
460	244	20
461	245	20
462	245	19
463	246	19
464	246	18
465	246	18
466	247	17
467	247	16
468	248	16
469	248	15
470	249	15
471	249	14
472	250	14
473	250	13
474	251	13
475	251	12
476	252	12
477	252	11
478	253	11
479	253	10
480	254	10
481	255	9
482	255	9
483	256	8
484	256	7
485	257	7
486	257	6
487	258	6
488	258	5
489	259	5
490	259	4
491	260	4
492	260	3
493	261	3
494	261	2
495	261	2
496	262	1
497	262	1
498	263	0
499	263	0
