iter	Passed	Remaining
0	2	2364
1	4	2192
2	6	2115
3	8	2222
4	10	2152
5	12	2119
6	14	2071
7	16	2065
8	18	2058
9	20	2035
10	22	2016
11	24	1992
12	25	1964
13	27	1942
14	29	1917
15	30	1892
16	32	1878
17	33	1852
18	35	1840
19	37	1832
20	39	1823
21	40	1816
22	42	1805
23	44	1794
24	45	1787
25	47	1783
26	49	1772
27	50	1767
28	52	1761
29	54	1757
30	56	1752
31	57	1751
32	58	1726
33	60	1729
34	62	1726
35	64	1721
36	65	1716
37	67	1717
38	69	1713
39	71	1712
40	73	1716
41	73	1680
42	75	1676
43	77	1675
44	78	1673
45	80	1671
46	82	1672
47	84	1670
48	85	1668
49	86	1642
50	88	1642
51	89	1640
52	91	1638
53	93	1636
54	95	1635
55	96	1633
56	98	1636
57	100	1634
58	102	1633
59	104	1629
60	105	1628
61	107	1627
62	109	1628
63	110	1623
64	112	1619
65	114	1618
66	116	1616
67	116	1597
68	118	1596
69	120	1595
70	121	1595
71	122	1573
72	124	1574
73	125	1574
74	127	1573
75	129	1571
76	130	1568
77	132	1568
78	134	1567
79	136	1564
80	137	1562
81	139	1560
82	141	1557
83	142	1555
84	144	1555
85	146	1555
86	148	1554
87	149	1554
88	151	1555
89	153	1556
90	155	1555
91	157	1553
92	159	1551
93	160	1550
94	162	1552
95	164	1552
96	166	1551
97	168	1552
98	170	1555
99	172	1556
100	175	1558
101	177	1559
102	179	1559
103	180	1559
104	182	1557
105	184	1554
106	186	1553
107	187	1552
108	189	1550
109	191	1549
110	193	1548
111	195	1547
112	196	1545
113	198	1543
114	200	1541
115	201	1539
116	203	1537
117	205	1535
118	207	1535
119	209	1535
120	211	1534
121	212	1532
122	214	1530
123	216	1530
124	218	1527
125	220	1526
126	221	1524
127	223	1523
128	225	1524
129	227	1522
130	229	1521
131	231	1519
132	232	1518
133	234	1517
134	236	1515
135	238	1514
136	240	1512
137	241	1510
138	243	1508
139	245	1507
140	247	1505
141	248	1504
142	250	1503
143	252	1503
144	254	1501
145	256	1501
146	258	1500
147	260	1499
148	262	1498
149	264	1498
150	266	1497
151	268	1497
152	270	1496
153	272	1495
154	273	1492
155	275	1491
156	277	1490
157	279	1489
158	281	1488
159	283	1487
160	284	1485
161	286	1484
162	288	1482
163	290	1482
164	292	1480
165	294	1478
166	296	1478
167	298	1476
168	300	1475
169	301	1474
170	303	1472
171	305	1471
172	307	1470
173	309	1468
174	311	1467
175	313	1466
176	315	1464
177	316	1463
178	318	1462
179	320	1460
180	322	1459
181	324	1458
182	326	1456
183	328	1455
184	330	1454
185	331	1452
186	333	1450
187	335	1449
188	337	1448
189	339	1446
190	341	1446
191	343	1445
192	345	1444
193	347	1443
194	349	1442
195	351	1440
196	353	1439
197	355	1438
198	357	1437
199	358	1435
200	360	1433
201	362	1432
202	364	1431
203	365	1425
204	367	1423
205	369	1422
206	371	1421
207	372	1418
208	374	1416
209	376	1416
210	378	1415
