date,swt,v,lh,sh,strat,t,rh,sp,cc,ws,sr,st7,st28,st100,st255,sm7,sm28,sm100,sm255,tp,pev,q_gwlf,doc_gwlf,fdom
2012-05-01,10.187705,62317837.6,-32.002035,21.638953,0.326997,11.93416667,75.52458254,1019.810613,94.875,18.70620342,198.9166667,11.24041667,10.00916667,8.275833396,8.305,0.352,0.360875,0.373541667,0.394083333,1,2.713233759,0.612,7.283,52.76315475
2012-05-02,10.433519,62315271.3,-19.030503,6.523847,0.290196,11.80291667,76.34774492,1022.261258,89.875,7.833659996,214.7083333,12.10083333,11.13208333,8.634166667,8.305,0.351,0.357583333,0.372416667,0.394,0,2.729116708,0.526,7.615,52.54308559
2012-05-03,10.492566,62310605.93,-34.592451,5.007022,0.501044,10.92583333,83.52078921,1014.783088,95.29166667,13.46891988,203.7916667,11.73625,11.39875,9.03,8.305,0.34725,0.354541667,0.370708333,0.394,0.5,2.393655301,0.517,7.636,52.45721744
2012-05-04,10.504928,62317837.6,-67.765889,-22.260116,0.284791,8.723750008,77.21022942,1010.736854,83.58333333,21.9854575,139.75,9.588333333,10.27583333,9.27375,8.313333417,0.344583333,0.352208333,0.37,0.394,0.1,1.838496745,0.508,7.654,52.44182807
2012-05-05,10.477574,62309259,-63.609694,-26.630031,0.255875,6.679999988,62.05394,1013.328898,80.16666667,13.11954404,211.25,7.892499963,8.709166688,9.23625,8.3550005,0.341916667,0.350083333,0.369458333,0.393458333,0.6,2.664390265,0.717,6.792,52.29702315
2012-05-06,10.580396,62301653.47,-56.386639,-15.4726,0.38957,7.67791665,59.82230183,1012.222002,97.875,10.40137853,252.5,8.427916646,8.588333308,9.088333333,8.3550005,0.33625,0.347,0.367958333,0.393,0,3.147709289,0.675,6.891,52.16926701
2012-05-07,10.496924,62317837.6,-45.826751,-24.354323,0.493015,7.063333325,85.35574875,1003.459277,84.66666667,13.86002001,153.875,8.34249995,8.590416696,8.9925,8.38000025,0.381083333,0.355208333,0.366583333,0.393,13,1.699691438,0.985,5.982,51.97463601
2012-05-08,10.533133,62317837.6,-71.415963,-19.794683,0.369557,7.917499975,73.54225458,1004.986153,67.25,14.08747403,269.0833333,9.132083321,8.861250021,8.89875,8.405,0.382416667,0.373041667,0.366125,0.393,0.8,2.809561359,1.311,6.289,51.89428673
2012-05-09,10.649387,62312144.6,-42.204667,-9.431255,0.621078,8.067499983,68.97185046,1005.148956,95.125,11.84557349,248.25,8.407083313,8.563333308,8.840416667,8.405,0.366458333,0.3705,0.366083333,0.392541667,0.8,3.018737447,0.835,6.725,51.75002119
2012-05-10,10.471548,62317837.6,-56.505546,-33.947037,0.163588,7.571666663,88.74086083,1004.119127,98.375,19.05601988,58.33333333,8.205000029,8.871666667,8.8425,8.405,0.397625,0.375916667,0.36625,0.392,11.6,0.863077939,2.786,7.188,51.87755007
2012-05-11,10.523875,62317837.6,-86.313286,-17.587441,0.163695,8.148749988,73.80024438,1027.468193,52.45833333,16.13414485,284.2916667,9.013333308,8.634166683,8.7675,8.405,0.398041667,0.391708333,0.367791667,0.392,1.8,2.912337385,1.682,6.505,51.73831914
2012-05-12,10.694489,62317837.6,-38.258071,0.623434,0.452687,9.532083283,72.80563763,1037.8034,54.70833333,14.57817208,243.7083333,9.502916604,9.086250021,8.763333333,8.415416667,0.380916667,0.384833333,0.369,0.392,0.1,2.955545394,1.347,6.469,51.70223079
