feature,rf_importance,xgb_importance,lgb_importance,cbt_importance
swt,0.0813727435027826,0.116698492479446,0.142046713912239,0.0709544480167908
v,0.00329022715800645,0.0015099281220094,0.000513487087720754,0.000175332150648088
lh,0.0115918416190562,0.00431406551994069,0.00315860355027286,0.000812841157244426
sh,0.012805240101424,0.00559418602648978,0.0036547511595076,0.00105693501355934
strat,0.0268618589333643,0.0178738064684429,0.0204415554738147,0.00702709991932401
t,0.0154123689717304,0.00602451045719541,0.00503829662698661,0.00245105105512526
rh,0.0105554069241589,0.00274116546448816,0.00320812593029269,0.000839221206360476
sp,0.0218136108870809,0.0100469252597925,0.0110542725287844,0.0033535856590677
cc,0.00982818973049101,0.00366295115117836,0.00287697251088089,0.000620573960366423
ws,0.0113668955884768,0.00415316031238674,0.00496237937502855,0.00269571299698302
sr,0.0576808464917776,0.103361547415658,0.115187771133994,0.0898481521163929
st7,0.018204541259283,0.0039256821554634,0.00245805390760367,0.00307041202509398
st28,0.0225651777332507,0.00439059294715764,0.0118918704658158,0.00673198838211511
st100,0.0556758162052702,0.0366266864053663,0.0535508619970677,0.0290572582671525
st255,0.128772384252426,0.142160697405666,0.136573749289198,0.200187794887326
sm7,0.0180081487716434,0.00526091040225514,0.00415061166948832,0.00338450415842291
sm28,0.0285299919041369,0.00569895759783938,0.00456236063033566,0.0043286071195374
sm100,0.0854420343915592,0.088010040244826,0.0782449410992912,0.112875519548055
sm255,0.113988326211756,0.181790951145393,0.157755183554829,0.193725720540262
tp,0.00801718326542398,0.00127221436060481,0.00221395813048037,0.00122835576675341
pev,0.0370030965347243,0.00187332278877212,0.00240800342656425,0.00435087998786771
q_gwlf,0.0356679078354439,0.0230100506162362,0.0320250813118318,0.0170150929213253
doc_gwlf,0.0931329520038175,0.104250634182328,0.137392545882284,0.0881871491615799
cyday,0.092413209722916,0.125748521071063,0.0646298493456889,0.156021763982647
