feature,rf_importance,xgb_importance,lgb_importance,cbt_importance
swt,0.0877321122752686,0.110391667858266,0.131475428121059,0.085918588448205
v,0.00274445504456778,0.00171797829477051,0.000864066955436702,0.000463661082863787
lh,0.00881629825805953,0.00402468418952962,0.00385087277535488,0.00313274838849621
sh,0.0100968716772856,0.00605513627863318,0.00364034057148861,0.00554309992521837
strat,0.0241507928515672,0.0155561545588446,0.0195585380035646,0.0143249860035364
t,0.0117535499650614,0.0110610550523362,0.00403580906793778,0.0063790673436949
rh,0.00854719320584126,0.00439176267549901,0.00301462682416982,0.00454052938039862
sp,0.0192641683970806,0.0161930009436441,0.0104909932697441,0.00885629218277458
cc,0.00771732089764238,0.00414616711828673,0.00327383902683716,0.00377359709941269
ws,0.00888956944163534,0.00425693802442046,0.00422067356740939,0.00568761837117819
sr,0.0654369478261803,0.0980983594887898,0.114599734400178,0.0480035010259008
st7,0.0152189900118453,0.0039954295367451,0.00220769179032728,0.00268886221345617
st28,0.0192624076365514,0.00837996426943236,0.0105933384825686,0.0129304754419581
st100,0.0549594036371199,0.0330607604820005,0.0471619115301079,0.0400278052793603
st255,0.133340688921856,0.154092505542489,0.159039514625241,0.20906802997837
sm7,0.0148745982617399,0.00605513910236349,0.00543741771860115,0.00727460847249303
sm28,0.0234874300882646,0.00506404243838982,0.00799224623728186,0.00823489140482229
sm100,0.0907606795489642,0.0857182222190828,0.0777848597211027,0.105033441473261
sm255,0.123250822234436,0.170667253847669,0.173975644038329,0.185712316546312
tp,0.00625866141318283,0.00203642226175753,0.00246151091073978,0.00379421889026539
pev,0.0344335021685573,0.00496152287560993,0.00251210595944492,0.00766177061169928
q_gwlf,0.0335324519636449,0.0209222118961968,0.0259718873147707,0.0288125090119808
doc_gwlf,0.102434757135439,0.114595482640987,0.121892541322562,0.0834355305323778
cyday,0.0930363271382079,0.114558138404256,0.0639444077657438,0.118701850891965
