,Feature,Gain,Cover,Frequency
1,sm255,0.157755183554829,0.0730933381745907,0.0808314087759815
2,swt,0.142046713912239,0.0467894498049079,0.0573771625340543
3,doc_gwlf,0.137392545882284,0.0421712910410597,0.0530071496729405
4,st255,0.136573749289198,0.0740761888093891,0.08503547178161
5,sr,0.115187771133994,0.0618776967493451,0.040215181645946
6,sm100,0.0782449410992912,0.0570890061203098,0.0639183526711012
7,cyday,0.0646298493456889,0.0626115023083909,0.0681915614498486
8,st100,0.0535508619970677,0.0311778009873505,0.046189376443418
9,q_gwlf,0.0320250813118318,0.0450167504126265,0.0486094785025791
10,strat,0.0204415554738147,0.0560065784695742,0.0499094190372143
11,st28,0.0118918704658158,0.0364862021967703,0.0314889850783422
12,sp,0.0110542725287844,0.032673184688881,0.042455504694998
13,t,0.00503829662698661,0.0336190931003499,0.025459473662375
14,ws,0.00496237937502855,0.0391675455214761,0.0327750964583535
15,sm28,0.00456236063033566,0.0426626138225495,0.0316687640884513
16,sm7,0.00415061166948832,0.0298561717081571,0.0256530818271079
17,sh,0.0036547511595076,0.0249217921999645,0.0307422107286582
18,rh,0.00320812593029269,0.0359273521949994,0.034240986848474
19,lh,0.00315860355027286,0.0321399393684661,0.028944420627567
20,cc,0.00287697251088089,0.0553333862809238,0.0420544592109084
21,st7,0.00245805390760367,0.0186565551807396,0.0176874887638119
22,pev,0.00240800342656425,0.0303575137127863,0.0250169407144141
23,tp,0.00221395813048037,0.0342673251190742,0.0327474381491059
24,v,0.000513487087720754,0.00402172202731773,0.00578058663273914
