,IncNodePurity
swt,0.0813727435027826
v,0.00329022715800645
lh,0.0115918416190562
sh,0.012805240101424
strat,0.0268618589333643
t,0.0154123689717304
rh,0.0105554069241589
sp,0.0218136108870809
cc,0.00982818973049101
ws,0.0113668955884768
sr,0.0576808464917776
st7,0.018204541259283
st28,0.0225651777332507
st100,0.0556758162052702
st255,0.128772384252426
sm7,0.0180081487716434
sm28,0.0285299919041369
sm100,0.0854420343915592
sm255,0.113988326211756
tp,0.00801718326542398
pev,0.0370030965347243
q_gwlf,0.0356679078354439
doc_gwlf,0.0931329520038175
cyday,0.092413209722916
