,Feature,Gain,Cover,Frequency
1,sm255,0.181790951145393,0.0342851964827496,0.0339560665161158
2,st255,0.142160697405666,0.0575471593074479,0.0429685896119893
3,cyday,0.125748521071063,0.0343352999561477,0.0292547731471977
4,swt,0.116698492479446,0.0534906560040394,0.126934920960788
5,doc_gwlf,0.104250634182328,0.0635515273644782,0.0420242250051324
6,sr,0.103361547415658,0.0432979192772007,0.0371381646479162
7,sm100,0.088010040244826,0.0461425490098494,0.0404434407719154
8,st100,0.0366266864053663,0.0306557464793758,0.0277971669061794
9,q_gwlf,0.0230100506162362,0.0562334690397425,0.041962636009033
10,strat,0.0178738064684429,0.0519700457692211,0.0535824266064463
11,sp,0.0100469252597925,0.0587260330001464,0.0525970026688565
12,t,0.00602451045719541,0.0269635832931008,0.0353520837610347
13,sm28,0.00569895759783938,0.0324741604918216,0.0265653869841922
14,sh,0.00559418602648978,0.0569885760056277,0.0538287825908438
15,sm7,0.00526091040225514,0.031069854705293,0.0313282693492096
16,st28,0.00439059294715764,0.0330976033100756,0.0237938821597208
17,lh,0.00431406551994069,0.0555182704629762,0.0697598029152125
18,ws,0.00415316031238674,0.0480334688519383,0.046068569082324
19,st7,0.0039256821554634,0.0355639417576298,0.022356805584069
20,cc,0.00366295115117836,0.039293531634877,0.0433997125846849
21,rh,0.00274116546448816,0.0492784093736824,0.0500513241634161
22,pev,0.00187332278877212,0.0346353842131535,0.0244508314514473
23,v,0.0015099281220094,0.00958934871252854,0.0185998768220078
24,tp,0.00127221436060481,0.017258265496897,0.0257852597002669
