"","IncNodePurity"
"swt",8.77321122752686
"v",0.274445504456778
"lh",0.881629825805953
"sh",1.00968716772856
"strat",2.41507928515672
"t",1.17535499650614
"rh",0.854719320584125
"sp",1.92641683970806
"cc",0.771732089764238
"ws",0.888956944163534
"sr",6.54369478261803
"st7",1.52189900118453
"st28",1.92624076365514
"st100",5.49594036371199
"st255",13.3340688921856
"sm7",1.48745982617399
"sm28",2.34874300882646
"sm100",9.07606795489643
"sm255",12.3250822234436
"tp",0.625866141318283
"pev",3.44335021685573
"q_gwlf",3.35324519636449
"doc_gwlf",10.2434757135439
"cyday",9.30363271382079
