"swt","sr","st100","st255","sm100","sm255","doc_gwlf","cyday"
10.187705,198.9166667,8.275833396,8.305,0.373541667,0.394083333,7.283,-0.529919264233205
10.433519,214.7083333,8.634166667,8.305,0.372416667,0.394,7.615,-0.544639035015027
10.492566,203.7916667,9.03,8.305,0.370708333,0.394,7.636,-0.559192903470747
10.504928,139.75,9.27375,8.313333417,0.37,0.394,7.654,-0.573576436351046
10.477574,211.25,9.23625,8.3550005,0.369458333,0.393458333,6.792,-0.587785252292473
10.580396,252.5,9.088333333,8.3550005,0.367958333,0.393,6.891,-0.601815023152048
10.496924,153.875,8.9925,8.38000025,0.366583333,0.393,5.982,-0.615661475325658
10.533133,269.0833333,8.89875,8.405,0.366125,0.393,6.289,-0.629320391049837
10.649387,248.25,8.840416667,8.405,0.366083333,0.392541667,6.725,-0.642787609686539
10.471548,58.33333333,8.8425,8.405,0.36625,0.392,7.188,-0.656059028990507
10.523875,284.2916667,8.7675,8.405,0.367791667,0.392,6.505,-0.669130606358858
10.694489,243.7083333,8.763333333,8.415416667,0.369,0.392,6.469,-0.681998360062498
10.585461,74.125,8.8425,8.455,0.369083333,0.392,6.759,-0.694658370458997
10.5212,259.9166667,8.875833333,8.455,0.370208333,0.391291667,6.537,-0.707106781186547
10.483927,283.9166667,8.871666667,8.455,0.3725,0.391,6.666,-0.719339800338651
10.588718,136.7916667,8.832083333,8.455,0.373166667,0.391,6.799,-0.73135370161917
10.671187,195.1666667,8.794583333,8.455,0.373833333,0.391,7.292,-0.743144825477394
10.723618,198.0833333,8.865416667,8.477916667,0.37525,0.391,7.454,-0.754709580222772
11.073115,195.5,8.971666667,8.505,0.376708333,0.391,7.319,-0.766044443118978
11.098477,205.8333333,9.144583333,8.505,0.376708333,0.390708333,7.203,-0.777145961456971
11.274352,179.5,9.427916667,8.505,0.376,0.39,7.141,-0.788010753606722
11.39024,119.3333333,9.813333333,8.552916667,0.375625,0.39,7.155,-0.798635510047293
11.612532,217.3333333,10.23,8.571666667,0.374625,0.39,7.175,-0.809016994374947
12.272722,290.5416667,10.6925,8.615416667,0.373166667,0.39,7.166,-0.819152044288992
12.6548,315.625,11.2425,8.669583333,0.36925,0.389958333,7.185,-0.829037572555042
12.835007,334.125,11.88625,8.732083333,0.364083333,0.389,7.248,-0.838670567945424
13.751106,323.5416667,12.46541667,8.807083333,0.360083333,0.389,7.372,-0.848048096156426
14.103495,292.9166667,12.97583333,8.894583333,0.357,0.389,7.592,-0.857167300702112
14.490377,167.3333333,13.30083333,8.990416667,0.355208333,0.388166667,7.618,-0.866025403784439
14.471302,186.0416667,13.41333333,9.088333333,0.354125,0.388,7.317,-0.874619707139396
14.688573,48.45833333,13.43,9.18625,0.353,0.388,6.429,-0.882947592858927
14.842768,158.75,13.34041667,9.282083333,0.352791667,0.387916667,6.487,-0.891006524188368
14.668172,125.625,13.40916667,9.377916667,0.352583333,0.387,7.242,-0.898794046299167
14.644336,152.7083333,13.42583333,9.4675,0.354,0.387,8.114,-0.90630778703665
14.859328,249.875,13.26333333,9.550833333,0.356541667,0.387,8.472,-0.913545457642601
14.815167,84.83333333,13.1175,9.632083333,0.357458333,0.387,7.951,-0.92050485345244
15.172701,277.9583333,12.91125,9.71125,0.358,0.386125,7.994,-0.927183854566787
14.50696,64.66666667,12.85916667,9.78,0.361083333,0.386,11.018,-0.933580426497202
13.698191,82.125,12.67166667,9.8425,0.38475,0.386,7.547,-0.939692620785908
14.021023,308.25,12.41125,9.907083333,0.394333333,0.386,8.64,-0.945518575599317
14.267116,307.9166667,12.24666667,9.959166667,0.393708333,0.386958333,9.453,-0.951056516295154
14.181752,315.75,12.19041667,10.005,0.392041667,0.387,9.014,-0.956304755963035
14.115156,256.2916667,12.255,10.055,0.390125,0.387,8.76,-0.961261695938319
14.101549,228.75,12.23,10.105,0.388458333,0.387,9.174,-0.965925826289068
13.990197,148.75,12.19458333,10.155,0.386875,0.387,7.846,-0.970295726275996
14.057284,156.7916667,12.15708333,10.20291667,0.386,0.387,8.715,-0.974370064785235
13.941913,128.7916667,12.155,10.24458333,0.386916667,0.387,10.309,-0.978147600733806
14.318991,293.0416667,12.04666667,10.28,0.386583333,0.387,10.226,-0.981627183447664
14.22991,157.625,11.955,10.31541667,0.386416667,0.387,9.088,-0.984807753012208
14.650586,281.4583333,11.80916667,10.355,0.387916667,0.387,10.266,-0.987688340595138
14.847961,206.0833333,11.86958333,10.3925,0.387291667,0.387,9.979,-0.99026806874157
14.454659,55.375,11.99666667,10.4175,0.392625,0.387125,9.063,-0.992546151641322
14.369554,279.3333333,12.01541667,10.455,0.400583333,0.388,10.811,-0.994521895368273
14.369582,181.875,12.11125,10.49458333,0.401166667,0.388375,10.251,-0.996194698091746
14.796843,287.2916667,12.20083333,10.52791667,0.403125,0.389,11.553,-0.997564050259824
15.10804,247.375,12.33416667,10.56541667,0.402333333,0.389708333,11.385,-0.998629534754574
15.072552,157.4583333,12.56125,10.60708333,0.400541667,0.39,9.917,-0.999390827019096
15.324387,95.125,12.80708333,10.655,0.399291667,0.390375,9.86,-0.999847695156391
15.488068,149.2916667,13.04041667,10.70708333,0.401458333,0.391,9.955,-1
15.477019,86.83333333,13.1925,10.76125,0.405,0.391333333,10.056,-0.999847695156391
15.19321,220.2083333,13.14458333,10.81541667,0.406625,0.392,10.94,-0.999390827019096
15.137125,121.9583333,13.03,10.86333333,0.407791667,0.392958333,11.051,-0.998629534754574
15.596546,202.0833333,12.96958333,10.90916667,0.407541667,0.393625,10.931,-0.997564050259824
15.425275,67.29166667,13.10083333,10.955,0.407,0.394041667,10.644,-0.996194698091746
15.605977,212.4583333,13.18,11.00291667,0.407916667,0.395,11.444,-0.994521895368273
15.925025,237.625,13.31958333,11.05291667,0.407541667,0.39525,10.486,-0.992546151641322
15.936645,192.25,13.51125,11.10291667,0.405666667,0.396,11.171,-0.99026806874157
15.961895,158.7916667,13.72375,11.15916667,0.404083333,0.396,10.806,-0.987688340595138
15.914479,139.0833333,13.82375,11.22166667,0.402583333,0.3965,10.431,-0.984807753012208
15.774228,101.5416667,13.73625,11.27375,0.401666667,0.397,10.059,-0.981627183447664
15.852573,198.125,13.55083333,11.32583333,0.400083333,0.397,9.599,-0.978147600733806
15.88744,264.2083333,13.40916667,11.37375,0.3985,0.397,10.535,-0.974370064785235
16.112203,222.75,13.26333333,11.41541667,0.396583333,0.397,11.204,-0.970295726275996
16.028494,231.5,13.20291667,11.455,0.395625,0.397,11.01,-0.965925826289068
15.959512,237.3333333,13.17166667,11.49875,0.394666667,0.397,10.567,-0.961261695938319
16.161719,253.4583333,13.08625,11.53,0.393416667,0.397,10.208,-0.956304755963036
16.264732,194.8333333,13.11958333,11.55916667,0.391791667,0.397,9.521,-0.951056516295154
16.080705,56.125,13.24875,11.605,0.391166667,0.396958333,9.134,-0.945518575599317
16.216456,205.25,13.37166667,11.64041667,0.397458333,0.397,10.906,-0.939692620785908
16.192019,217.2916667,13.455,11.68,0.402958333,0.397,12.075,-0.933580426497202
16.302918,255.25,13.41333333,11.71541667,0.402625,0.397,11.64,-0.927183854566787
16.426479,159.2916667,13.34041667,11.755,0.401583333,0.397,11.23,-0.92050485345244
16.424497,107.3333333,13.35916667,11.79666667,0.400208333,0.397,9.582,-0.913545457642601
16.554353,105.9583333,13.55916667,11.83,0.39925,0.397,9.971,-0.90630778703665
16.606579,124,13.67791667,11.8675,0.400208333,0.397,11.571,-0.898794046299167
16.690357,233.375,13.68833333,11.905,0.4015,0.397,11.171,-0.891006524188368
16.7739,273.75,13.74875,11.955,0.400416667,0.397541667,12.584,-0.882947592858927
16.676898,233.3333333,13.84875,11.99458333,0.39875,0.398,11.977,-0.874619707139396
