feature,rf_importance,xgb_importance,lgb_importance,cbt_importance
swt,0.0256862687644178,0.0305110468701435,0.0283253728880156,0.0140727414138316
v,0.0986985471124465,0.18997581815254,0.0726716304996099,0.0910078215546622
lh,0.0024594456540114,0.000712803146728206,0.00125988345202122,0.00504949867795256
sh,0.00567636374777514,0.000255725171038765,0.00140737041823429,0.00287536536808508
strat,0.00575469789516957,0.000860645690717521,0.00159330062814455,0.00440404786253049
t,0.0144164683420913,0.00157027518374055,0.00880179781808515,0.0199971433944676
rh,0.00216749191380334,0.000372915444090738,0.000725523278244896,0.00274064631814146
sp,0.00396536043064532,0.000847611715619391,0.00160912817678407,0.00387549263638446
cc,0.0018718164196035,0.00028154578781265,0.000527607861956964,0.00225262534644684
ws,0.00149950871181161,0.00062792805625635,0.000715745262548614,0.00212836664392272
sr,0.0172127307626988,0.000872958467371865,0.00108309268132775,0.00756253712395034
st7,0.0144247690511154,0.00224695032023467,0.0020397901100108,0.0132566280686167
st28,0.0194385969772307,0.00101195033693392,0.00288848397654196,0.00948291941172561
st100,0.0328166203147594,0.00887044546754226,0.00560970672328931,0.0652873685561191
st255,0.0670980377361047,0.111774637602492,0.106584084163327,0.189578378928564
sm7,0.00496569861587769,0.00238892273881305,0.000912880512981276,0.0101198959946582
sm28,0.0250386383758395,0.00392326605114329,0.00310731745915423,0.00834996391776752
sm100,0.218615591174391,0.52576246965438,0.326186878756253,0.170362488844785
sm255,0.220753166745648,0.0462335711877586,0.28678299702077,0.234042472799043
tp,0.00101827724007716,0.000200246669623079,0.000164036616073273,0.00594817936738108
pev,0.0163028749018318,0.000289681820613123,0.000671753875282539,0.018562303313066
q_gwlf,0.0242155308249248,0.00543595201693741,0.0119331882337286,0.0127576611730498
doc_gwlf,0.0871429112691453,0.00516007859579242,0.0298679042577991,0.0214844362410593
cyday,0.0887605870185802,0.0598125538516772,0.104530525329815,0.0848010170437894
