feature,rf_importance,xgb_importance,lgb_importance,cbt_importance
swt,0.0410544858588654,0.0445480823663184,0.0302372322307849,0.0209491516645167
v,0.0935523126603896,0.173798162757608,0.0719008984931652,0.144596668636657
lh,0.0109286970755598,0.000404214479590387,0.00132704044818623,0.00241164916093061
sh,0.017787562444385,0.000623417797084562,0.00119759767365682,0.00420052992665558
strat,0.0156539665573215,0.00177877609552539,0.00170710406601512,0.0079888966052798
t,0.0280842401587107,0.00649448840756451,0.00575439458242828,0.00658904067745813
rh,0.0141969116607517,0.00034086702626745,0.000505806860247428,0.00129572024751828
sp,0.0122473916679043,0.00160523982661119,0.00197461664957883,0.00487627330024754
cc,0.00921717412205176,0.000190063943869353,0.00049013646644916,0.000974725251380878
ws,0.00960065809616002,0.000463918138022981,0.000744591584314746,0.000990888239299528
sr,0.0347830959621457,0.000220694929203413,0.000924556363253077,0.0180308367100434
st7,0.0270895309133062,0.00154078530739887,0.00245166293288819,0.0139563616952015
st28,0.0361930390234515,0.00164891197283881,0.00281950849371013,0.0183808053221258
st100,0.0394985355715396,0.00200562334405496,0.00660458732977937,0.0287288155830593
st255,0.0585421517057426,0.126679519794189,0.106607332858011,0.19705549656484
sm7,0.0237616194353264,0.00125515157605453,0.000923467893480717,0.00392855249728999
sm28,0.0420455917270362,0.00289514038799257,0.00385500228783709,0.0205848849416293
sm100,0.115817795739045,0.521745740585718,0.322811266951426,0.168981805984879
sm255,0.126913037469716,0.0623051934887011,0.289284745740563,0.200106037329003
tp,0.00728691896412064,7.7069835220915e-05,0.000146722703109837,0.00134037451996825
pev,0.0370066645329787,0.000237697316489344,0.001075358902213,0.0106112710229189
q_gwlf,0.0484943740480242,0.0085744970541717,0.0105129324807141,0.011868397710967
doc_gwlf,0.0870253768259292,0.00734237257675821,0.0301960726430059,0.0330500920111891
cyday,0.0632188677795387,0.0332243709927459,0.105947363365182,0.0785027243969418
