,var,importance
1,swt,0.0209491516645167
2,v,0.144596668636657
3,lh,0.00241164916093061
4,sh,0.00420052992665558
5,strat,0.0079888966052798
6,t,0.00658904067745813
7,rh,0.00129572024751828
8,sp,0.00487627330024754
9,cc,0.000974725251380878
10,ws,0.000990888239299528
11,sr,0.0180308367100434
12,st7,0.0139563616952015
13,st28,0.0183808053221258
14,st100,0.0287288155830593
15,st255,0.19705549656484
16,sm7,0.00392855249728999
17,sm28,0.0205848849416293
18,sm100,0.168981805984879
19,sm255,0.200106037329003
20,tp,0.00134037451996825
21,pev,0.0106112710229189
22,q_gwlf,0.011868397710967
23,doc_gwlf,0.0330500920111891
24,cyday,0.0785027243969418
