,Feature,Gain,Cover,Frequency
1,sm100,0.322811266951426,0.077000674853278,0.0706845386285327
2,sm255,0.289284745740563,0.041553694320221,0.0326037164651756
3,st255,0.106607332858011,0.032661018996187,0.0314684618295525
4,cyday,0.105947363365182,0.103628693510145,0.0735923838355673
5,v,0.0719008984931652,0.0177909615670287,0.0281224481666633
6,swt,0.0302372322307849,0.0210588309061199,0.0254934374315362
7,doc_gwlf,0.0301960726430059,0.0445333728342028,0.0464060228245932
8,q_gwlf,0.0105129324807141,0.0433847475864983,0.0434185106255851
9,st100,0.00660458732977937,0.0217302474962326,0.0264892748312056
10,t,0.00575439458242828,0.0385834140954981,0.0369654842757275
11,sm28,0.00385500228783709,0.0784633011533104,0.0666613555338684
12,st28,0.00281950849371013,0.017435860533315,0.0217490888087793
13,st7,0.00245166293288819,0.021875640433797,0.0251150192196618
14,sp,0.00197461664957883,0.0418341701317598,0.0496126192515286
15,strat,0.00170710406601512,0.0240911819218435,0.0299747057300484
16,lh,0.00132704044818623,0.0220140197226607,0.0332609691489574
17,sh,0.00119759767365682,0.020482589528875,0.0296560377621542
18,pev,0.001075358902213,0.087449468414524,0.0672389412256767
19,sr,0.000924556363253077,0.0512894102180726,0.0472226094923221
20,sm7,0.000923467893480717,0.0495057692170117,0.0544324722659284
21,ws,0.000744591584314746,0.0316718841199351,0.0420044215180545
22,rh,0.000505806860247428,0.0643612382568726,0.0556872273895118
23,cc,0.00049013646644916,0.0363655581033803,0.0461869385966659
24,tp,0.000146722703109837,0.0112342520792312,0.0159533151427035
