,IncNodePurity
swt,0.0410544858588654
v,0.0935523126603896
lh,0.0109286970755598
sh,0.017787562444385
strat,0.0156539665573215
t,0.0280842401587107
rh,0.0141969116607517
sp,0.0122473916679043
cc,0.00921717412205176
ws,0.00960065809616002
sr,0.0347830959621457
st7,0.0270895309133062
st28,0.0361930390234515
st100,0.0394985355715396
st255,0.0585421517057426
sm7,0.0237616194353264
sm28,0.0420455917270362
sm100,0.115817795739045
sm255,0.126913037469716
tp,0.00728691896412064
pev,0.0370066645329787
q_gwlf,0.0484943740480242
doc_gwlf,0.0870253768259292
cyday,0.0632188677795387
