,Feature,Gain,Cover,Frequency
1,sm100,0.521745740585718,0.0477684411568363,0.0327819092426772
2,v,0.173798162757608,0.0531286470804326,0.0762786462285628
3,st255,0.126679519794189,0.046933448172488,0.029412657459402
4,sm255,0.0623051934887011,0.0486731416220803,0.0247382000303536
5,swt,0.0445480823663184,0.0452091502401487,0.139565943238731
6,cyday,0.0332243709927459,0.0272464304851769,0.0191531340112308
7,q_gwlf,0.0085744970541717,0.07232685709496,0.0410077401730156
8,doc_gwlf,0.00734237257675821,0.0476106371049927,0.0334193352557292
9,t,0.00649448840756451,0.0289444277422089,0.0361511610259523
10,sm28,0.00289514038799257,0.0342674278324437,0.0319320078919411
11,st100,0.00200562334405496,0.0389224335351999,0.027743208377599
12,strat,0.00177877609552539,0.0298844096011577,0.046714220670815
13,st28,0.00164891197283881,0.0289869792412832,0.0198816208832903
14,sp,0.00160523982661119,0.0487806964162229,0.0535741387160419
15,st7,0.00154078530739887,0.0241944830163924,0.0210047048110487
16,sm7,0.00125515157605453,0.0389070380179469,0.0389740476551829
17,sh,0.000623417797084562,0.0575965544832388,0.0475034147822128
18,ws,0.000463918138022981,0.0539508104670701,0.0494156928213689
19,lh,0.000404214479590387,0.0630365177392709,0.0735468204583397
20,rh,0.00034086702626745,0.0406379645757701,0.0458036120807406
21,pev,0.000237697316489344,0.0261148599670793,0.0190924267718925
22,sr,0.000220694929203413,0.0485760643327348,0.035028077098194
23,cc,0.000190063943869353,0.0381240049043276,0.0412505691303688
24,tp,7.7069835220915e-05,0.0101785751705374,0.0160267111853088
